Date,Hotel_ID,ADR,Occupancy Rate,RevPAR,Available Rooms,Booked Rooms,Cancelations,No Shows,Deposits,Customer Type,Stay Length,Total Charges,Market Segment,Booking Channel,Special Requests,Meal Plan,Check-in Day of Week,Advance Booking Days,Revenue from Extras
2022-07-22,328,221.15,0.91,201.25,131,119,8,4,2951.42,Business,6,1326.9,Agent,Phone,3,Half-board,Sat,40,30.13
2022-07-23,351,169.8,0.77,130.75,68,52,1,3,4757.93,Leisure,8,1358.4,Online,Phone,0,None,Sun,34,19.53
2022-07-24,221,120.43,0.52,62.62,95,49,1,4,1666.31,Business,12,1445.16,Agent,Agent,3,None,Fri,3,185.26
2022-07-25,426,206.22,0.73,150.54,114,83,5,2,1854.95,Group,3,618.66,Direct,Agent,2,None,Sat,33,191.21
2022-07-26,387,187.77,0.84,157.73,167,140,0,4,1816.36,Leisure,7,1314.39,Direct,Agent,2,None,Wed,19,50.27
2022-07-27,113,193.37,0.77,148.89,88,68,9,1,2165.1,Leisure,3,580.11,Online,Phone,2,Half-board,Thu,3,34.37
2022-07-28,427,117.18,0.79,92.57,158,125,4,4,3094.81,Leisure,10,1171.8,Online,Phone,2,None,Wed,45,137.92
2022-07-29,284,8.27,0.61,5.04,67,41,6,0,4101.13,Business,9,74.43,Direct,Phone,1,None,Sat,29,198.74
2022-07-30,252,255.84,0.92,235.37,196,180,3,1,4519.01,Business,4,1023.36,Online,Website,0,None,Sun,26,51.55
2022-07-31,179,69.46,0.78,54.18,184,144,2,0,775.35,Group,1,69.46,Online,Agent,1,Half-board,Wed,27,72.17
2022-08-01,141,148.21,0.86,127.46,104,89,3,4,3425.43,Group,7,1037.47,Agent,Website,4,None,Tue,39,71.97
2022-08-02,374,269.04,0.99,266.35,178,176,0,3,3165.82,Leisure,14,3766.56,Online,Website,1,None,Sun,51,93.08
2022-08-03,140,166.53,0.71,118.24,87,62,5,0,3204.23,Business,5,832.65,Agent,Website,2,Half-board,Fri,48,52.48
2022-08-04,307,197.46,0.94,185.61,86,81,0,3,4070.0,Leisure,6,1184.76,Agent,Website,2,None,Fri,5,111.78
2022-08-05,367,74.88,0.5,37.44,185,92,2,1,4720.35,Group,8,599.04,Online,Agent,1,Half-board,Mon,22,166.33
2022-08-06,266,61.12,0.52,31.78,95,49,2,4,3867.15,Leisure,9,550.08,Direct,Agent,3,None,Thu,20,80.07
2022-08-07,211,123.36,0.8,98.69,189,151,8,3,1272.31,Leisure,10,1233.6,Online,Agent,1,Breakfast,Wed,13,56.04
2022-08-08,449,204.54,0.66,135.0,182,120,8,0,4795.93,Business,4,818.16,Agent,Website,0,None,Thu,26,186.9
2022-08-09,229,132.69,0.62,82.27,88,55,0,2,4393.43,Business,11,1459.59,Online,Agent,4,None,Wed,31,109.95
2022-08-10,323,110.27,0.64,70.57,174,111,8,1,1848.45,Business,7,771.89,Agent,Website,0,None,Fri,50,46.54
2022-08-11,474,159.9,0.66,105.53,90,59,7,1,1050.14,Business,13,2078.7,Online,Website,4,None,Sat,38,69.43
2022-08-12,400,204.1,0.86,175.53,112,96,1,3,4126.96,Leisure,9,1836.9,Online,Agent,4,Breakfast,Fri,5,100.19
2022-08-13,316,77.75,0.78,60.64,120,94,6,1,4893.58,Group,14,1088.5,Agent,Phone,3,Breakfast,Mon,49,17.79
2022-08-14,481,89.47,0.89,79.63,130,116,6,4,1073.69,Leisure,7,626.29,Direct,Phone,4,Half-board,Sat,38,6.77
2022-08-15,124,110.57,0.92,101.72,99,91,2,1,3431.12,Group,5,552.85,Direct,Website,1,Half-board,Sun,9,142.14
2022-08-16,167,204.73,0.92,188.35,58,53,2,4,544.27,Business,5,1023.65,Online,Phone,4,Half-board,Fri,39,148.4
2022-08-17,359,161.74,0.71,114.84,71,50,1,1,659.72,Business,5,808.7,Agent,Phone,0,Breakfast,Mon,29,94.07
2022-08-18,334,256.61,0.71,182.19,100,71,3,4,4033.32,Business,14,3592.54,Online,Phone,0,Breakfast,Thu,44,172.86
2022-08-19,304,196.82,0.96,188.95,194,186,9,0,4170.13,Group,13,2558.66,Agent,Phone,2,Half-board,Fri,56,117.68
2022-08-20,391,148.25,0.83,123.05,135,112,5,0,2072.06,Leisure,4,593.0,Agent,Phone,0,Half-board,Mon,8,151.47
2022-08-21,314,213.25,0.54,115.16,60,32,5,1,2515.82,Leisure,5,1066.25,Online,Phone,3,Breakfast,Tue,32,187.2
2022-08-22,289,160.57,0.77,123.64,186,143,2,1,4007.65,Business,5,802.85,Online,Phone,1,None,Fri,50,158.07
2022-08-23,297,114.75,0.68,78.03,156,106,1,1,4359.67,Business,8,918.0,Online,Agent,0,Half-board,Mon,16,62.11
2022-08-24,315,184.0,0.99,182.16,95,94,6,4,1742.45,Leisure,4,736.0,Agent,Phone,3,Half-board,Sat,21,23.79
2022-08-25,143,115.18,0.51,58.74,198,101,2,2,4029.3,Group,10,1151.8,Agent,Website,4,Half-board,Sat,31,7.95
2022-08-26,132,135.48,0.81,109.74,54,44,9,1,1403.95,Group,3,406.44,Direct,Phone,4,None,Tue,43,78.11
2022-08-27,111,216.39,0.86,186.1,98,84,5,1,2513.04,Group,8,1731.12,Online,Phone,2,Breakfast,Thu,56,1.49
2022-08-28,204,144.94,0.64,92.76,74,47,1,3,3735.04,Group,7,1014.58,Direct,Website,4,None,Tue,56,147.58
2022-08-29,312,109.84,0.99,108.74,153,151,4,1,3586.09,Leisure,11,1208.24,Agent,Agent,1,None,Wed,42,90.35
2022-08-30,238,126.78,0.93,117.91,93,86,3,2,2760.3,Business,5,633.9,Agent,Website,0,None,Sun,5,146.45
2022-08-31,282,201.09,0.96,193.05,66,63,3,0,3514.43,Group,13,2614.17,Agent,Website,3,Breakfast,Sun,50,99.55
2022-09-01,225,122.37,0.51,62.41,107,55,1,3,727.4,Business,3,367.11,Online,Phone,2,Breakfast,Mon,3,2.98
2022-09-02,256,130.66,0.78,101.91,55,43,5,3,1797.2,Business,9,1175.94,Agent,Agent,4,None,Tue,59,174.43
2022-09-03,211,124.49,0.65,80.92,173,112,4,3,1473.23,Business,9,1120.41,Agent,Website,3,None,Fri,24,184.11
2022-09-04,358,159.2,0.92,146.46,58,53,3,0,868.07,Group,13,2069.6,Online,Agent,4,Breakfast,Sat,30,120.21
2022-09-05,127,130.73,0.82,107.2,83,68,9,4,1434.6,Leisure,11,1438.03,Agent,Website,0,Half-board,Wed,11,139.83
2022-09-06,317,69.91,0.77,53.83,104,80,3,4,4370.14,Leisure,7,489.37,Online,Phone,2,Breakfast,Wed,57,12.13
2022-09-07,251,105.64,0.56,59.16,114,64,7,0,4533.26,Group,9,950.76,Online,Phone,2,None,Thu,44,139.14
2022-09-08,409,103.36,0.77,79.59,52,40,8,3,2898.98,Business,9,930.24,Online,Website,4,Breakfast,Sat,41,16.8
2022-09-09,407,212.17,0.82,173.98,137,112,4,2,2679.78,Business,3,636.51,Online,Agent,3,None,Tue,35,64.16
2022-09-10,274,190.63,0.98,186.82,116,114,3,0,2584.25,Leisure,9,1715.67,Online,Website,2,Breakfast,Sat,55,59.71
2022-09-11,248,179.36,0.79,141.69,95,75,2,3,4815.7,Group,14,2511.04,Online,Agent,0,Half-board,Mon,26,168.29
2022-09-12,129,124.73,0.98,122.24,198,194,9,3,4733.68,Business,3,374.19,Agent,Agent,4,Half-board,Wed,51,92.58
2022-09-13,167,109.21,0.98,107.03,185,181,9,1,1474.2,Business,12,1310.52,Agent,Agent,3,Breakfast,Sat,48,12.54
2022-09-14,135,124.62,0.83,103.43,74,61,4,0,927.46,Leisure,5,623.1,Online,Website,2,None,Tue,2,48.44
2022-09-15,395,97.41,0.75,73.06,149,112,9,4,744.72,Group,3,292.23,Online,Website,3,Half-board,Mon,6,88.87
2022-09-16,493,274.86,0.73,200.65,112,82,5,3,2109.49,Business,10,2748.6,Agent,Website,4,None,Mon,49,189.5
2022-09-17,173,37.73,0.95,35.84,144,137,3,4,2378.94,Group,14,528.22,Direct,Phone,4,Half-board,Wed,47,48.26
2022-09-18,397,178.2,0.51,90.88,199,101,4,4,1614.54,Leisure,3,534.6,Online,Website,4,Breakfast,Wed,11,155.08
2022-09-19,487,85.77,0.56,48.03,137,77,4,1,4641.01,Leisure,12,1029.24,Direct,Website,0,Breakfast,Mon,42,34.99
2022-09-20,402,144.78,0.55,79.63,195,107,9,1,4267.19,Group,14,2026.92,Online,Phone,0,Half-board,Mon,21,128.47
2022-09-21,318,100.6,0.88,88.53,119,105,1,0,3850.08,Group,10,1006.0,Direct,Agent,2,Breakfast,Tue,21,45.12
2022-09-22,464,91.12,0.67,61.05,177,119,3,0,2677.53,Leisure,9,820.08,Online,Phone,2,Breakfast,Mon,16,154.4
2022-09-23,359,92.99,0.82,76.25,53,43,1,3,4489.23,Leisure,2,185.98,Agent,Agent,3,Breakfast,Sat,8,108.5
2022-09-24,387,237.75,0.8,190.2,139,111,8,2,4753.34,Leisure,10,2377.5,Agent,Website,1,Half-board,Thu,23,178.52
2022-09-25,365,143.35,0.69,98.91,199,137,2,3,4494.52,Leisure,14,2006.9,Agent,Website,2,None,Mon,39,21.36
2022-09-26,494,111.71,0.77,86.02,184,142,8,4,1676.13,Leisure,7,781.97,Direct,Phone,0,None,Mon,48,37.86
2022-09-27,127,177.79,0.82,145.79,72,59,1,0,4389.02,Business,1,177.79,Agent,Website,0,Breakfast,Mon,21,153.25
2022-09-28,299,150.52,0.97,146.0,73,71,6,0,2076.65,Business,10,1505.2,Agent,Phone,1,None,Mon,0,67.19
2022-09-29,161,186.0,0.79,146.94,135,107,9,0,1054.71,Business,1,186.0,Agent,Website,1,None,Sun,37,13.9
2022-09-30,441,58.79,0.81,47.62,126,102,1,0,3846.3,Group,10,587.9,Agent,Agent,1,None,Wed,47,140.62
2022-10-01,453,165.18,0.53,87.55,110,58,1,2,4139.98,Leisure,1,165.18,Agent,Website,0,Half-board,Wed,11,27.14
2022-10-02,144,188.63,0.98,184.86,188,184,1,3,4940.51,Group,3,565.89,Online,Website,3,None,Mon,35,23.84
2022-10-03,390,66.92,0.76,50.86,91,69,4,0,2664.31,Business,12,803.04,Online,Website,0,None,Wed,34,100.57
2022-10-04,188,172.41,0.9,155.17,119,107,9,2,1629.6,Group,4,689.64,Agent,Phone,3,None,Mon,26,82.4
2022-10-05,133,234.81,0.53,124.45,165,87,4,1,794.26,Group,10,2348.1,Online,Phone,2,Breakfast,Wed,32,34.8
2022-10-06,233,149.26,0.71,105.97,140,99,7,2,2359.33,Leisure,4,597.04,Agent,Phone,0,Breakfast,Sun,33,134.11
2022-10-07,332,191.07,0.63,120.37,166,105,0,0,3098.43,Leisure,4,764.28,Agent,Website,1,Breakfast,Wed,43,83.1
2022-10-08,355,183.53,0.63,115.62,194,122,1,0,2734.24,Business,10,1835.3,Direct,Website,3,Breakfast,Tue,22,137.03
2022-10-09,136,114.62,0.9,103.16,179,161,7,2,1232.54,Leisure,1,114.62,Online,Phone,1,Half-board,Thu,19,76.56
2022-10-10,356,151.99,0.81,123.11,128,104,7,0,2171.95,Group,5,759.95,Online,Website,1,Breakfast,Fri,40,165.17
2022-10-11,390,71.65,0.72,51.59,59,42,6,0,4630.58,Business,3,214.95,Direct,Agent,0,Breakfast,Fri,38,114.81
2022-10-12,297,127.43,0.51,64.99,113,58,2,2,2566.82,Group,4,509.72,Direct,Phone,4,Half-board,Sun,53,162.37
2022-10-13,482,163.28,0.98,160.01,113,111,9,3,2805.01,Leisure,10,1632.8,Agent,Agent,1,Half-board,Thu,40,125.2
2022-10-14,354,186.16,0.98,182.44,149,146,2,4,2623.6,Leisure,9,1675.44,Agent,Website,4,Half-board,Sat,56,72.34
2022-10-15,180,151.23,0.61,92.25,186,113,2,3,2231.22,Group,14,2117.22,Agent,Agent,0,None,Fri,57,77.55
2022-10-16,236,186.0,0.52,96.72,106,55,7,2,772.82,Leisure,10,1860.0,Agent,Agent,3,Half-board,Mon,2,161.49
2022-10-17,289,94.85,0.77,73.03,165,127,1,0,1531.33,Business,7,663.95,Agent,Phone,4,None,Wed,28,5.85
2022-10-18,229,144.92,0.98,142.02,154,151,6,3,2749.99,Leisure,5,724.6,Direct,Website,3,Half-board,Sun,32,34.63
2022-10-19,309,150.96,0.96,144.92,127,122,7,2,3129.95,Business,8,1207.68,Agent,Agent,4,Breakfast,Tue,7,125.91
2022-10-20,468,242.48,0.79,191.56,94,74,6,2,2651.62,Group,4,969.92,Direct,Website,1,Half-board,Sat,15,148.68
2022-10-21,391,139.29,0.65,90.54,64,42,2,1,2137.52,Business,14,1950.06,Direct,Agent,4,Half-board,Mon,43,170.47
2022-10-22,476,125.05,0.66,82.53,191,126,1,0,4115.74,Business,5,625.25,Direct,Website,0,Half-board,Sun,31,154.2
2022-10-23,447,151.07,0.95,143.52,108,103,8,1,3626.45,Business,7,1057.49,Agent,Website,1,None,Sat,49,196.3
2022-10-24,268,104.04,0.75,78.03,184,138,3,4,4754.39,Business,9,936.36,Direct,Website,1,Breakfast,Wed,30,183.97
2022-10-25,472,159.64,0.57,90.99,157,89,0,2,624.81,Leisure,3,478.92,Online,Website,2,Half-board,Sat,44,84.19
2022-10-26,392,131.75,0.62,81.68,122,76,8,2,3848.36,Leisure,12,1581.0,Agent,Agent,0,None,Sun,21,157.7
2022-10-27,276,60.43,0.64,38.68,101,65,9,0,776.19,Business,1,60.43,Direct,Phone,2,Breakfast,Thu,17,59.2
2022-10-28,125,147.07,0.56,82.36,64,36,7,1,1809.41,Business,2,294.14,Online,Website,3,Half-board,Wed,13,185.75
2022-10-29,423,134.12,0.73,97.91,160,117,9,1,4626.96,Group,7,938.84,Agent,Agent,3,Half-board,Fri,34,199.43
2022-10-30,459,68.38,0.96,65.64,78,75,2,0,3989.1,Leisure,10,683.8,Direct,Agent,1,None,Sun,48,146.92
2022-10-31,391,146.64,0.83,121.71,144,120,3,1,3479.09,Leisure,3,439.92,Online,Agent,0,None,Thu,27,66.91
2022-11-01,214,224.47,0.54,121.21,58,31,1,0,2298.63,Leisure,3,673.41,Agent,Phone,4,Half-board,Sat,8,192.6
2022-11-02,386,176.07,0.5,88.04,157,78,9,1,724.22,Group,12,2112.84,Agent,Agent,0,Breakfast,Sat,36,8.19
2022-11-03,129,180.6,0.64,115.58,106,68,3,0,1671.14,Leisure,9,1625.4,Online,Phone,0,None,Tue,20,82.0
2022-11-04,341,82.93,0.68,56.39,129,88,5,4,2663.91,Group,1,82.93,Online,Agent,4,Breakfast,Thu,36,102.01
2022-11-05,389,173.84,0.89,154.72,148,132,4,0,2402.5,Business,6,1043.04,Online,Phone,0,None,Thu,26,102.93
2022-11-06,246,157.42,0.98,154.27,87,85,3,0,2561.6,Business,3,472.26,Agent,Website,3,Half-board,Sun,55,44.98
2022-11-07,373,176.45,0.69,121.75,152,105,2,1,636.4,Group,14,2470.3,Agent,Phone,0,Half-board,Mon,37,80.45
2022-11-08,321,171.13,0.84,143.75,151,127,6,1,3348.83,Business,13,2224.69,Agent,Phone,3,Half-board,Thu,50,142.23
2022-11-09,440,82.01,1.0,82.01,55,55,0,0,2529.35,Leisure,14,1148.14,Direct,Phone,3,None,Fri,44,155.52
2022-11-10,102,147.93,0.87,128.7,192,167,9,0,575.55,Business,11,1627.23,Agent,Phone,4,Breakfast,Mon,34,143.66
2022-11-11,169,112.11,0.82,91.93,189,155,8,1,4726.46,Business,3,336.33,Online,Agent,1,Breakfast,Sat,10,3.35
2022-11-12,457,147.5,0.54,79.65,194,105,0,2,1389.65,Leisure,8,1180.0,Agent,Phone,3,None,Mon,31,135.11
2022-11-13,496,105.13,0.66,69.39,126,83,8,3,1263.15,Business,8,841.04,Direct,Agent,2,None,Wed,20,48.24
2022-11-14,144,215.62,0.96,207.0,148,142,4,4,3897.92,Group,6,1293.72,Online,Phone,4,Breakfast,Wed,15,129.14
2022-11-15,473,107.05,0.6,64.23,114,68,3,0,2068.98,Leisure,8,856.4,Online,Agent,1,None,Fri,43,76.02
2022-11-16,353,105.05,0.92,96.65,170,156,6,1,3251.97,Business,14,1470.7,Direct,Phone,3,None,Sat,45,114.7
2022-11-17,422,153.73,0.85,130.67,107,91,8,3,526.85,Leisure,10,1537.3,Direct,Website,2,None,Mon,57,44.95
2022-11-18,211,96.15,0.68,65.38,194,132,4,0,2441.45,Leisure,3,288.45,Direct,Website,4,Half-board,Wed,42,135.48
2022-11-19,191,128.77,0.76,97.87,177,135,2,1,611.75,Group,5,643.85,Agent,Phone,0,None,Thu,23,180.53
2022-11-20,441,108.5,0.77,83.54,182,140,4,1,1443.03,Group,2,217.0,Direct,Phone,3,Half-board,Wed,46,66.92
2022-11-21,139,220.56,0.86,189.68,150,129,5,2,1376.23,Business,7,1543.92,Direct,Phone,0,Half-board,Sun,11,12.73
2022-11-22,250,189.29,0.76,143.86,53,40,7,0,4869.17,Leisure,2,378.58,Agent,Phone,4,Half-board,Fri,21,187.88
2022-11-23,245,147.13,0.57,83.86,183,104,2,3,1860.86,Business,7,1029.91,Direct,Website,3,None,Mon,10,109.81
2022-11-24,298,130.44,0.89,116.09,100,89,3,4,4276.63,Leisure,13,1695.72,Agent,Phone,4,None,Wed,1,166.36
2022-11-25,374,197.05,0.7,137.94,177,124,1,2,2393.4,Group,13,2561.65,Online,Website,1,Breakfast,Mon,3,189.24
2022-11-26,448,170.26,0.98,166.85,95,93,9,4,4379.58,Business,10,1702.6,Online,Agent,0,None,Fri,51,174.97
2022-11-27,143,174.9,0.64,111.94,65,42,6,0,3482.54,Business,8,1399.2,Online,Website,0,None,Fri,57,104.08
2022-11-28,183,148.69,0.63,93.67,167,105,1,3,531.92,Leisure,8,1189.52,Agent,Phone,2,Half-board,Tue,36,195.46
2022-11-29,397,65.59,0.67,43.95,141,94,6,3,1002.2,Group,8,524.72,Online,Agent,4,None,Sat,49,87.55
2022-11-30,193,144.38,0.79,114.06,175,138,5,3,641.05,Group,10,1443.8,Agent,Website,4,None,Mon,33,49.95
2022-12-01,274,123.38,0.95,117.21,61,58,0,1,907.0,Group,10,1233.8,Direct,Website,1,None,Sun,4,173.65
2022-12-02,301,182.25,0.59,107.53,177,104,7,3,1491.41,Group,5,911.25,Agent,Phone,2,Breakfast,Mon,8,176.4
2022-12-03,445,200.59,0.64,128.38,84,54,7,1,4035.12,Group,9,1805.31,Direct,Agent,4,Half-board,Tue,3,11.88
2022-12-04,429,117.1,0.79,92.51,63,50,5,3,3801.56,Leisure,4,468.4,Online,Website,4,Breakfast,Sat,35,147.36
2022-12-05,128,173.42,0.73,126.6,185,135,9,4,1601.21,Leisure,4,693.68,Direct,Agent,3,Half-board,Fri,15,67.03
2022-12-06,309,236.79,0.72,170.49,149,107,1,4,2256.9,Group,6,1420.74,Direct,Phone,3,None,Sat,52,172.02
2022-12-07,205,116.61,0.91,106.12,132,120,0,3,4367.7,Business,6,699.66,Direct,Phone,4,Breakfast,Mon,30,48.59
2022-12-08,484,234.1,0.96,224.74,160,154,3,3,825.45,Group,11,2575.1,Agent,Phone,2,Breakfast,Thu,40,116.06
2022-12-09,163,107.37,0.74,79.45,90,67,9,1,3041.67,Leisure,7,751.59,Agent,Phone,0,Half-board,Sat,17,26.05
2022-12-10,116,151.15,0.84,126.97,115,97,8,1,1017.63,Business,13,1964.95,Online,Phone,0,None,Tue,33,176.67
2022-12-11,206,149.44,0.9,134.5,77,69,3,1,4973.25,Leisure,7,1046.08,Direct,Agent,3,None,Fri,18,27.2
2022-12-12,264,150.57,0.76,114.43,193,147,2,0,2487.41,Group,10,1505.7,Agent,Agent,2,Half-board,Thu,3,129.58
2022-12-13,194,108.12,0.65,70.28,193,125,1,1,4618.72,Leisure,7,756.84,Online,Agent,3,None,Wed,57,45.11
2022-12-14,124,120.44,0.82,98.76,91,75,1,1,1188.42,Group,9,1083.96,Agent,Phone,4,None,Tue,21,151.33
2022-12-15,216,116.61,0.79,92.12,56,44,8,0,4956.38,Group,11,1282.71,Agent,Agent,3,None,Fri,56,36.84
2022-12-16,291,166.35,0.95,158.03,176,167,6,3,766.87,Leisure,6,998.1,Online,Phone,0,Breakfast,Sat,51,151.66
2022-12-17,295,166.5,0.53,88.24,106,56,1,2,765.15,Leisure,3,499.5,Online,Agent,2,None,Sun,52,101.2
2022-12-18,407,261.3,0.96,250.85,184,177,0,0,4204.57,Group,10,2613.0,Agent,Phone,0,Breakfast,Tue,45,141.74
2022-12-19,236,218.55,0.77,168.28,128,99,0,1,3994.67,Group,13,2841.15,Direct,Agent,3,None,Sat,22,104.12
2022-12-20,447,124.51,0.51,63.5,184,94,3,0,1615.72,Group,12,1494.12,Online,Agent,2,Breakfast,Sat,16,111.31
2022-12-21,193,166.24,0.67,111.38,83,56,8,4,1610.81,Leisure,1,166.24,Online,Website,3,Half-board,Thu,14,120.89
2022-12-22,479,199.86,0.86,171.88,177,152,6,4,2626.95,Group,10,1998.6,Online,Website,1,Breakfast,Mon,25,45.67
2022-12-23,338,151.53,0.74,112.13,176,130,2,3,4746.21,Business,9,1363.77,Online,Website,4,Half-board,Tue,13,115.15
2022-12-24,187,146.52,0.99,145.05,96,95,8,1,3316.49,Business,13,1904.76,Agent,Phone,4,None,Sat,3,52.77
2022-12-25,260,152.58,0.71,108.33,177,126,1,4,4246.38,Leisure,5,762.9,Agent,Agent,4,None,Wed,25,59.89
2022-12-26,247,193.36,0.66,127.62,76,50,8,0,4401.97,Group,11,2126.96,Agent,Agent,2,None,Fri,58,99.8
2022-12-27,172,107.58,0.91,97.9,101,92,2,1,1105.02,Leisure,2,215.16,Online,Website,3,Breakfast,Sat,17,45.65
2022-12-28,187,133.72,0.77,102.96,96,74,9,3,3104.64,Business,3,401.16,Agent,Website,2,Half-board,Sun,12,123.8
2022-12-29,113,173.52,0.84,145.76,145,122,7,1,4941.23,Business,3,520.56,Direct,Website,0,Breakfast,Thu,29,59.91
2022-12-30,414,165.57,0.9,149.01,185,166,8,1,930.4,Business,7,1158.99,Direct,Agent,1,None,Fri,46,37.21
2022-12-31,181,161.98,0.84,136.06,89,75,9,0,2495.96,Leisure,1,161.98,Agent,Agent,0,Half-board,Wed,45,179.74
2023-01-01,220,131.51,0.71,93.37,55,39,0,1,3941.84,Leisure,14,1841.14,Agent,Agent,1,None,Thu,25,87.16
2023-01-02,472,198.63,0.56,111.23,151,85,1,0,4953.1,Leisure,7,1390.41,Agent,Agent,4,Half-board,Tue,5,188.59
2023-01-03,420,256.69,0.79,202.79,95,75,1,0,1038.72,Leisure,10,2566.9,Online,Phone,1,None,Mon,44,82.94
2023-01-04,303,170.32,0.95,161.8,62,59,1,1,2319.98,Group,10,1703.2,Direct,Agent,4,Breakfast,Sat,8,2.12
2023-01-05,320,140.34,0.71,99.64,187,133,2,3,3888.32,Group,13,1824.42,Online,Phone,0,None,Sun,46,39.84
2023-01-06,381,187.79,0.96,180.28,63,60,8,3,3173.36,Business,4,751.16,Online,Website,1,None,Sun,57,167.07
2023-01-07,388,123.04,0.75,92.28,137,103,7,2,4453.94,Business,10,1230.4,Direct,Website,0,Half-board,Sun,48,72.04
2023-01-08,370,112.52,0.81,91.14,74,60,6,4,959.66,Group,3,337.56,Agent,Agent,0,Half-board,Mon,58,169.28
2023-01-09,384,151.64,0.92,139.51,187,172,1,1,2941.31,Business,7,1061.48,Direct,Phone,1,None,Mon,0,77.64
2023-01-10,376,20.86,0.78,16.27,118,92,8,1,3241.37,Group,7,146.02,Agent,Phone,2,None,Thu,2,59.34
2023-01-11,424,92.3,0.55,50.76,136,75,1,0,4164.19,Leisure,10,923.0,Direct,Phone,1,None,Sun,9,160.15
2023-01-12,122,132.6,0.99,131.27,151,149,7,3,4305.3,Group,12,1591.2,Agent,Agent,4,None,Thu,11,14.46
2023-01-13,327,82.33,0.62,51.04,154,95,4,1,2633.74,Leisure,9,740.97,Agent,Website,3,None,Thu,31,175.19
2023-01-14,478,98.37,0.86,84.6,103,89,8,3,3219.46,Business,6,590.22,Online,Phone,3,None,Tue,22,83.97
2023-01-15,183,128.16,0.75,96.12,148,111,8,2,535.34,Group,13,1666.08,Agent,Agent,2,Breakfast,Sat,33,65.74
2023-01-16,235,67.85,0.74,50.21,191,141,4,1,3600.63,Leisure,8,542.8,Agent,Phone,2,Half-board,Tue,47,43.98
2023-01-17,161,129.7,0.62,80.41,62,38,0,0,569.51,Business,5,648.5,Direct,Website,0,Half-board,Fri,20,118.88
2023-01-18,241,123.24,0.86,105.99,79,68,7,3,3411.9,Leisure,14,1725.36,Agent,Phone,2,None,Mon,9,189.59
2023-01-19,105,151.27,0.56,84.71,62,35,9,4,2776.53,Business,8,1210.16,Agent,Website,1,Half-board,Wed,22,70.48
2023-01-20,356,207.71,1.0,207.71,98,98,2,3,4793.27,Group,8,1661.68,Agent,Phone,4,None,Wed,27,46.13
2023-01-21,236,158.63,0.92,145.94,85,78,0,3,1233.83,Leisure,2,317.26,Agent,Website,4,Half-board,Sun,9,49.53
2023-01-22,307,151.05,0.77,116.31,84,65,6,4,2227.0,Business,9,1359.45,Agent,Agent,4,Breakfast,Fri,19,18.21
2023-01-23,239,154.97,0.71,110.03,108,77,8,3,4357.84,Business,10,1549.7,Agent,Agent,3,Half-board,Sat,23,47.34
2023-01-24,104,161.37,0.64,103.28,179,115,5,2,2813.43,Business,5,806.85,Online,Phone,0,Half-board,Wed,57,128.84
2023-01-25,448,99.16,0.75,74.37,195,146,7,1,4165.81,Group,9,892.44,Online,Website,0,None,Tue,55,142.69
2023-01-26,382,144.26,0.94,135.6,59,55,9,1,2783.41,Group,2,288.52,Direct,Agent,0,Half-board,Sat,52,83.32
2023-01-27,174,165.44,0.64,105.88,194,124,3,1,3570.81,Business,13,2150.72,Online,Phone,0,Breakfast,Wed,24,188.73
2023-01-28,408,81.46,0.75,61.1,117,88,5,3,4466.94,Group,2,162.92,Direct,Agent,3,Half-board,Tue,52,33.39
2023-01-29,319,193.28,0.62,119.83,97,60,0,4,746.67,Leisure,6,1159.68,Direct,Website,3,Half-board,Thu,25,143.14
2023-01-30,407,204.07,0.67,136.73,138,92,3,3,4463.86,Business,8,1632.56,Agent,Phone,3,Half-board,Fri,50,81.03
2023-01-31,327,118.43,0.6,71.06,108,65,0,1,1305.32,Business,14,1658.02,Direct,Agent,2,Breakfast,Sat,6,47.88
2023-02-01,461,137.93,1.0,137.93,86,86,8,4,3898.84,Group,3,413.79,Agent,Website,0,Breakfast,Tue,51,38.93
2023-02-02,374,106.09,0.79,83.81,62,49,4,1,3046.24,Leisure,12,1273.08,Direct,Agent,2,Breakfast,Sun,35,33.52
2023-02-03,473,184.97,0.87,160.92,76,66,8,1,1998.15,Group,3,554.91,Online,Phone,2,Breakfast,Sat,16,195.57
2023-02-04,390,96.94,0.55,53.32,52,29,3,2,4813.29,Business,7,678.58,Agent,Phone,4,None,Thu,31,77.88
2023-02-05,151,138.88,0.68,94.44,72,49,0,2,4286.45,Leisure,9,1249.92,Online,Phone,0,None,Thu,33,121.63
2023-02-06,258,107.05,0.95,101.7,96,91,9,3,1785.01,Leisure,3,321.15,Agent,Agent,1,None,Sun,5,86.47
2023-02-07,414,152.55,0.54,82.38,133,72,6,2,1412.07,Leisure,5,762.75,Agent,Phone,2,None,Wed,13,162.19
2023-02-08,411,60.29,0.58,34.97,68,39,3,4,2115.46,Group,14,844.06,Agent,Phone,0,Half-board,Thu,11,151.72
2023-02-09,374,216.32,0.81,175.22,84,68,3,0,1994.52,Group,13,2812.16,Online,Website,0,None,Sat,43,9.35
2023-02-10,443,101.77,0.81,82.43,145,117,0,4,1218.91,Business,6,610.62,Online,Website,0,Half-board,Wed,43,128.27
2023-02-11,426,152.99,0.92,140.75,50,46,6,1,4718.33,Leisure,14,2141.86,Agent,Phone,2,Half-board,Wed,5,193.76
